,day,open,high,low,close,volume
0,2021-02-24 13:50:00,3.060,3.060,3.040,3.060,40700
1,2021-02-24 13:55:00,3.050,3.050,3.040,3.040,48700
2,2021-02-24 14:00:00,3.050,3.050,3.040,3.040,36400
3,2021-02-24 14:05:00,3.050,3.050,3.030,3.040,83600
4,2021-02-24 14:10:00,3.050,3.050,3.030,3.040,35750
5,2021-02-24 14:15:00,3.040,3.040,3.020,3.020,163700
6,2021-02-24 14:20:00,3.030,3.040,3.020,3.040,41830
7,2021-02-24 14:25:00,3.040,3.040,3.030,3.030,9700
8,2021-02-24 14:30:00,3.040,3.040,3.030,3.040,15800
9,2021-02-24 14:35:00,3.040,3.040,3.030,3.030,98270
10,2021-02-24 14:40:00,3.030,3.040,3.030,3.040,40600
11,2021-02-24 14:45:00,3.030,3.040,3.030,3.040,65100
12,2021-02-24 14:50:00,3.040,3.050,3.030,3.040,78800
13,2021-02-24 14:55:00,3.040,3.050,3.030,3.040,65800
14,2021-02-24 15:00:00,3.030,3.040,3.030,3.040,124400
15,2021-02-25 09:35:00,3.050,3.060,3.020,3.020,161870
16,2021-02-25 09:40:00,3.020,3.030,3.000,3.020,246500
17,2021-02-25 09:45:00,3.010,3.010,2.980,2.980,368100
18,2021-02-25 09:50:00,2.980,3.000,2.980,3.000,465440
19,2021-02-25 09:55:00,3.000,3.020,2.990,3.010,212810
20,2021-02-25 10:00:00,3.020,3.020,3.000,3.000,191790
21,2021-02-25 10:05:00,3.010,3.020,3.000,3.020,85110
22,2021-02-25 10:10:00,3.010,3.020,3.000,3.000,150700
23,2021-02-25 10:15:00,3.000,3.010,2.990,3.000,53000
24,2021-02-25 10:20:00,3.000,3.010,3.000,3.000,57600
25,2021-02-25 10:25:00,3.000,3.000,2.990,2.990,61700
26,2021-02-25 10:30:00,3.000,3.000,2.980,2.980,397600
27,2021-02-25 10:35:00,2.980,2.990,2.980,2.980,80500
28,2021-02-25 10:40:00,2.980,2.990,2.980,2.990,73100
29,2021-02-25 10:45:00,2.990,2.990,2.980,2.990,118800
30,2021-02-25 10:50:00,2.990,2.990,2.980,2.980,47600
31,2021-02-25 10:55:00,2.990,3.000,2.980,2.990,47400
32,2021-02-25 11:00:00,2.990,3.000,2.990,2.990,34800
33,2021-02-25 11:05:00,2.990,3.000,2.970,2.970,187200
34,2021-02-25 11:10:00,2.980,2.980,2.960,2.970,173400
35,2021-02-25 11:15:00,2.980,2.980,2.960,2.960,83200
36,2021-02-25 11:20:00,2.970,2.980,2.960,2.970,68000
37,2021-02-25 11:25:00,2.970,2.970,2.960,2.970,20000
38,2021-02-25 11:30:00,2.960,2.970,2.960,2.970,79300
39,2021-02-25 13:05:00,2.970,2.980,2.960,2.980,59400
40,2021-02-25 13:10:00,2.980,2.980,2.970,2.970,31600
41,2021-02-25 13:15:00,2.970,2.980,2.970,2.970,12700
42,2021-02-25 13:20:00,2.980,2.980,2.970,2.980,89000
43,2021-02-25 13:25:00,2.980,2.980,2.970,2.970,34100
44,2021-02-25 13:30:00,2.970,2.980,2.970,2.970,74000
45,2021-02-25 13:35:00,2.980,2.990,2.970,2.990,150000
46,2021-02-25 13:40:00,2.990,2.990,2.980,2.980,32700
47,2021-02-25 13:45:00,2.980,2.990,2.980,2.990,3100
48,2021-02-25 13:50:00,2.980,2.990,2.980,2.990,5300
49,2021-02-25 13:55:00,2.980,2.990,2.980,2.980,49100
50,2021-02-25 14:00:00,2.980,2.990,2.980,2.980,193891
51,2021-02-25 14:05:00,2.980,2.990,2.970,2.970,157800
52,2021-02-25 14:10:00,2.970,2.980,2.970,2.970,13100
53,2021-02-25 14:15:00,2.970,2.980,2.970,2.980,11400
54,2021-02-25 14:20:00,2.970,2.980,2.970,2.980,121800
55,2021-02-25 14:25:00,2.980,2.980,2.970,2.970,135185
56,2021-02-25 14:30:00,2.980,2.980,2.970,2.970,54700
57,2021-02-25 14:35:00,2.980,2.980,2.970,2.980,20400
