,day,open,high,low,close,volume
0,2020-12-30 14:20:00,1.020,1.020,1.010,1.020,60500
1,2020-12-30 14:25:00,1.020,1.020,1.010,1.020,66000
2,2020-12-30 14:30:00,1.010,1.020,1.010,1.010,87100
3,2020-12-30 14:35:00,1.010,1.020,1.010,1.020,75300
4,2020-12-30 14:40:00,1.020,1.020,1.010,1.010,120700
5,2020-12-30 14:45:00,1.010,1.020,1.000,1.010,1663997
6,2020-12-30 14:50:00,1.000,1.010,1.000,1.010,834300
7,2020-12-30 14:55:00,1.000,1.010,1.000,1.010,507900
8,2020-12-30 15:00:00,1.000,1.010,1.000,1.000,894400
9,2020-12-31 09:35:00,0.990,1.000,0.960,0.960,3620000
10,2020-12-31 09:40:00,0.960,0.970,0.950,0.950,3502700
11,2020-12-31 09:45:00,0.950,0.950,0.950,0.950,615800
12,2020-12-31 09:50:00,0.950,0.950,0.950,0.950,245700
13,2020-12-31 09:55:00,0.950,0.950,0.950,0.950,191700
14,2020-12-31 10:00:00,0.950,0.950,0.950,0.950,320100
15,2020-12-31 10:05:00,0.950,0.980,0.950,0.970,6137947
16,2020-12-31 10:10:00,0.980,0.980,0.950,0.960,976908
17,2020-12-31 10:15:00,0.970,0.970,0.960,0.970,138800
18,2020-12-31 10:20:00,0.970,0.980,0.960,0.980,516792
19,2020-12-31 10:25:00,0.970,0.980,0.960,0.970,301808
20,2020-12-31 10:30:00,0.970,0.970,0.960,0.970,158600
21,2020-12-31 10:35:00,0.960,0.970,0.960,0.960,69300
22,2020-12-31 10:40:00,0.970,0.980,0.960,0.970,983122
23,2020-12-31 10:45:00,0.970,0.980,0.970,0.980,93100
24,2020-12-31 10:50:00,0.980,0.980,0.970,0.970,160600
25,2020-12-31 10:55:00,0.980,0.980,0.970,0.970,137600
26,2020-12-31 11:00:00,0.970,0.980,0.970,0.980,123000
27,2020-12-31 11:05:00,0.980,0.980,0.970,0.970,181300
28,2020-12-31 11:10:00,0.970,0.980,0.970,0.980,237000
29,2020-12-31 11:15:00,0.970,0.980,0.960,0.970,173978
30,2020-12-31 11:20:00,0.970,0.970,0.960,0.960,188300
31,2020-12-31 11:25:00,0.970,0.970,0.960,0.960,49600
32,2020-12-31 11:30:00,0.960,0.970,0.960,0.960,15800
33,2020-12-31 13:05:00,0.960,0.970,0.960,0.970,261400
34,2020-12-31 13:10:00,0.960,0.970,0.950,0.950,607600
35,2020-12-31 13:15:00,0.950,0.960,0.950,0.960,193300
36,2020-12-31 13:20:00,0.960,0.960,0.950,0.960,234300
37,2020-12-31 13:25:00,0.960,0.960,0.950,0.960,628803
38,2020-12-31 13:30:00,0.960,0.960,0.950,0.950,1395600
39,2020-12-31 13:35:00,0.960,0.960,0.950,0.950,649542
40,2020-12-31 13:40:00,0.950,0.950,0.950,0.950,143400
41,2020-12-31 13:45:00,0.950,0.960,0.950,0.960,1924456
42,2020-12-31 13:50:00,0.950,0.960,0.950,0.950,682800
43,2020-12-31 13:55:00,0.960,0.960,0.950,0.950,383000
44,2020-12-31 14:00:00,0.960,0.960,0.950,0.960,573300
45,2020-12-31 14:05:00,0.960,0.960,0.950,0.960,373771
46,2020-12-31 14:10:00,0.950,0.950,0.950,0.950,157929
47,2020-12-31 14:15:00,0.950,0.950,0.950,0.950,216700
48,2020-12-31 14:20:00,0.950,0.950,0.950,0.950,190600
49,2020-12-31 14:25:00,0.950,0.950,0.950,0.950,155600
50,2020-12-31 14:30:00,0.950,0.950,0.950,0.950,88700
51,2020-12-31 14:35:00,0.950,0.950,0.950,0.950,79400
52,2020-12-31 14:40:00,0.950,0.950,0.950,0.950,58200
53,2020-12-31 14:45:00,0.950,0.950,0.950,0.950,34800
54,2020-12-31 14:50:00,0.950,0.950,0.950,0.950,169900
55,2020-12-31 14:55:00,0.950,0.960,0.950,0.950,1591271
56,2020-12-31 15:00:00,0.960,0.960,0.950,0.960,801900
57,2021-01-04 09:35:00,0.920,0.940,0.920,0.920,3002509
58,2021-01-04 09:40:00,0.920,0.930,0.920,0.930,1245800
59,2021-01-04 09:45:00,0.930,0.940,0.930,0.940,653300
60,2021-01-04 09:50:00,0.940,0.940,0.930,0.940,685600
61,2021-01-04 09:55:00,0.940,0.940,0.920,0.920,1275700
62,2021-01-04 10:00:00,0.930,0.930,0.910,0.910,1895691
63,2021-01-04 10:05:00,0.920,0.920,0.910,0.910,3758200
64,2021-01-04 10:10:00,0.910,0.920,0.910,0.910,637100
65,2021-01-04 10:15:00,0.910,0.920,0.910,0.920,442800
66,2021-01-04 10:20:00,0.910,0.920,0.910,0.920,412956
67,2021-01-04 10:25:00,0.910,0.920,0.910,0.910,228000
68,2021-01-04 10:30:00,0.920,0.920,0.910,0.920,401500
69,2021-01-04 10:35:00,0.920,0.920,0.910,0.910,1032000
70,2021-01-04 10:40:00,0.910,0.910,0.910,0.910,775000
71,2021-01-04 10:45:00,0.910,0.920,0.910,0.910,1738100
72,2021-01-04 10:50:00,0.910,0.920,0.910,0.910,279900
73,2021-01-04 10:55:00,0.910,0.920,0.910,0.910,164000
74,2021-01-04 11:00:00,0.910,0.920,0.910,0.910,186100
75,2021-01-04 11:05:00,0.910,0.920,0.910,0.910,531800
76,2021-01-04 11:10:00,0.910,0.910,0.910,0.910,108300
77,2021-01-04 11:15:00,0.910,0.910,0.910,0.910,71400
78,2021-01-04 11:20:00,0.910,0.910,0.910,0.910,50300
79,2021-01-04 11:25:00,0.910,0.910,0.910,0.910,27500
80,2021-01-04 11:30:00,0.910,0.910,0.910,0.910,133100
81,2021-01-04 13:05:00,0.910,0.910,0.910,0.910,213100
82,2021-01-04 13:10:00,0.910,0.910,0.910,0.910,55900
83,2021-01-04 13:15:00,0.910,0.910,0.910,0.910,29500
84,2021-01-04 13:20:00,0.910,0.910,0.910,0.910,102700
85,2021-01-04 13:25:00,0.910,0.910,0.910,0.910,30400
86,2021-01-04 13:30:00,0.910,0.910,0.910,0.910,10000
87,2021-01-04 13:35:00,0.910,0.910,0.910,0.910,188800
88,2021-01-04 13:40:00,0.910,0.910,0.910,0.910,2023000
89,2021-01-04 13:45:00,0.910,0.930,0.910,0.930,1282701
90,2021-01-04 13:50:00,0.930,0.930,0.920,0.920,429300
91,2021-01-04 13:55:00,0.920,0.920,0.910,0.920,105999
92,2021-01-04 14:00:00,0.920,0.920,0.910,0.910,124500
93,2021-01-04 14:05:00,0.910,0.920,0.910,0.920,142500
94,2021-01-04 14:10:00,0.910,0.920,0.910,0.920,121300
95,2021-01-04 14:15:00,0.920,0.920,0.910,0.910,101400
96,2021-01-04 14:20:00,0.910,0.920,0.910,0.920,133000
97,2021-01-04 14:25:00,0.920,0.930,0.910,0.930,1265100
98,2021-01-04 14:30:00,0.930,0.930,0.920,0.920,904000
99,2021-01-04 14:35:00,0.920,0.930,0.910,0.920,654800
100,2021-01-04 14:40:00,0.920,0.920,0.910,0.920,234621
101,2021-01-04 14:45:00,0.920,0.920,0.910,0.910,156800
102,2021-01-04 14:50:00,0.910,0.920,0.910,0.920,183100
103,2021-01-04 14:55:00,0.920,0.920,0.910,0.910,1396479
104,2021-01-04 15:00:00,0.910,0.910,0.910,0.910,294600
105,2021-01-05 09:35:00,0.870,0.880,0.860,0.870,5106400
106,2021-01-05 09:40:00,0.860,0.880,0.860,0.870,2397300
107,2021-01-05 09:45:00,0.870,0.870,0.860,0.860,1687094
108,2021-01-05 09:50:00,0.860,0.870,0.860,0.860,1664600
109,2021-01-05 09:55:00,0.860,0.870,0.860,0.860,3215406
110,2021-01-05 10:00:00,0.860,0.870,0.860,0.860,1603600
111,2021-01-05 10:05:00,0.860,0.870,0.860,0.860,1029019
112,2021-01-05 10:10:00,0.860,0.870,0.860,0.860,566300
113,2021-01-05 10:15:00,0.860,0.870,0.860,0.860,291500
114,2021-01-05 10:20:00,0.860,0.870,0.860,0.860,844381
115,2021-01-05 10:25:00,0.860,0.860,0.860,0.860,197100
116,2021-01-05 10:30:00,0.860,0.860,0.860,0.860,453000
117,2021-01-05 10:35:00,0.860,0.860,0.860,0.860,505700
118,2021-01-05 10:40:00,0.860,0.860,0.860,0.860,103900
119,2021-01-05 10:45:00,0.860,0.860,0.860,0.860,21200
120,2021-01-05 10:50:00,0.860,0.860,0.860,0.860,98100
121,2021-01-05 10:55:00,0.860,0.860,0.860,0.860,60100
122,2021-01-05 11:00:00,0.860,0.860,0.860,0.860,26700
123,2021-01-05 11:05:00,0.860,0.860,0.860,0.860,33400
124,2021-01-05 11:10:00,0.860,0.860,0.860,0.860,76500
125,2021-01-05 11:15:00,0.860,0.860,0.860,0.860,8200
126,2021-01-05 11:20:00,0.860,0.860,0.860,0.860,143400
127,2021-01-05 11:25:00,0.860,0.860,0.860,0.860,39300
128,2021-01-05 11:30:00,0.860,0.860,0.860,0.860,21300
129,2021-01-05 13:05:00,0.860,0.860,0.860,0.860,211000
130,2021-01-05 13:10:00,0.860,0.860,0.860,0.860,41800
131,2021-01-05 13:15:00,0.860,0.860,0.860,0.860,94200
132,2021-01-05 13:20:00,0.860,0.860,0.860,0.860,94800
133,2021-01-05 13:25:00,0.860,0.860,0.860,0.860,15200
134,2021-01-05 13:30:00,0.860,0.860,0.860,0.860,124500
135,2021-01-05 13:35:00,0.860,0.860,0.860,0.860,19900
136,2021-01-05 13:40:00,0.860,0.860,0.860,0.860,10300
137,2021-01-05 13:45:00,0.860,0.860,0.860,0.860,6900
138,2021-01-05 13:50:00,0.860,0.860,0.860,0.860,69900
139,2021-01-05 13:55:00,0.860,0.860,0.860,0.860,14700
140,2021-01-05 14:00:00,0.860,0.860,0.860,0.860,36300
141,2021-01-05 14:05:00,0.860,0.860,0.860,0.860,22500
142,2021-01-05 14:10:00,0.860,0.860,0.860,0.860,11200
143,2021-01-05 14:15:00,0.860,0.860,0.860,0.860,16300
144,2021-01-05 14:20:00,0.860,0.860,0.860,0.860,144800
145,2021-01-05 14:25:00,0.860,0.860,0.860,0.860,334100
146,2021-01-05 14:30:00,0.860,0.860,0.860,0.860,101600
147,2021-01-05 14:35:00,0.860,0.860,0.860,0.860,8200
148,2021-01-05 14:40:00,0.860,0.860,0.860,0.860,7200
149,2021-01-05 14:45:00,0.860,0.860,0.860,0.860,11500
150,2021-01-05 14:50:00,0.860,0.860,0.860,0.860,61500
151,2021-01-05 14:55:00,0.860,0.860,0.860,0.860,9700
152,2021-01-05 15:00:00,0.860,0.860,0.860,0.860,42500
153,2021-01-06 09:35:00,0.820,0.830,0.820,0.820,3491600
154,2021-01-06 09:40:00,0.820,0.830,0.820,0.820,4394300
155,2021-01-06 09:45:00,0.830,0.840,0.820,0.840,2084544
156,2021-01-06 09:50:00,0.840,0.850,0.830,0.840,1507700
157,2021-01-06 09:55:00,0.850,0.850,0.830,0.830,2022400
158,2021-01-06 10:00:00,0.830,0.840,0.830,0.840,1306710
159,2021-01-06 10:05:00,0.840,0.840,0.830,0.830,333100
160,2021-01-06 10:10:00,0.840,0.840,0.830,0.830,353400
161,2021-01-06 10:15:00,0.840,0.840,0.830,0.830,429100
162,2021-01-06 10:20:00,0.840,0.840,0.820,0.830,680100
163,2021-01-06 10:25:00,0.820,0.830,0.820,0.820,2252000
164,2021-01-06 10:30:00,0.820,0.830,0.820,0.820,359500
165,2021-01-06 10:35:00,0.830,0.830,0.820,0.830,369900
166,2021-01-06 10:40:00,0.820,0.830,0.820,0.820,202700
167,2021-01-06 10:45:00,0.830,0.830,0.820,0.830,872850
168,2021-01-06 10:50:00,0.830,0.830,0.820,0.830,52400
169,2021-01-06 10:55:00,0.820,0.830,0.820,0.820,295800
170,2021-01-06 11:00:00,0.820,0.830,0.820,0.820,226500
171,2021-01-06 11:05:00,0.820,0.830,0.820,0.820,74900
172,2021-01-06 11:10:00,0.830,0.830,0.820,0.830,298200
173,2021-01-06 11:15:00,0.820,0.830,0.820,0.830,193100
174,2021-01-06 11:20:00,0.830,0.830,0.820,0.830,89100
175,2021-01-06 11:25:00,0.820,0.830,0.820,0.820,117600
176,2021-01-06 11:30:00,0.820,0.830,0.820,0.830,330800
177,2021-01-06 13:05:00,0.820,0.830,0.820,0.820,271200
178,2021-01-06 13:10:00,0.820,0.830,0.820,0.820,145700
179,2021-01-06 13:15:00,0.830,0.830,0.820,0.830,94300
180,2021-01-06 13:20:00,0.830,0.830,0.820,0.830,112900
181,2021-01-06 13:25:00,0.820,0.830,0.820,0.830,76900
182,2021-01-06 13:30:00,0.830,0.830,0.820,0.830,243900
183,2021-01-06 13:35:00,0.830,0.830,0.820,0.820,128400
184,2021-01-06 13:40:00,0.830,0.830,0.820,0.830,115500
185,2021-01-06 13:45:00,0.820,0.830,0.820,0.820,121700
186,2021-01-06 13:50:00,0.820,0.830,0.820,0.830,529400
187,2021-01-06 13:55:00,0.820,0.830,0.820,0.820,1988400
188,2021-01-06 14:00:00,0.820,0.830,0.820,0.820,120100
189,2021-01-06 14:05:00,0.820,0.820,0.820,0.820,83000
190,2021-01-06 14:10:00,0.820,0.820,0.820,0.820,79700
191,2021-01-06 14:15:00,0.820,0.820,0.820,0.820,12100
192,2021-01-06 14:20:00,0.820,0.820,0.820,0.820,201800
193,2021-01-06 14:25:00,0.820,0.830,0.820,0.830,945300
194,2021-01-06 14:30:00,0.830,0.830,0.820,0.820,542500
195,2021-01-06 14:35:00,0.830,0.830,0.820,0.830,157000
196,2021-01-06 14:40:00,0.830,0.830,0.820,0.820,315300
197,2021-01-06 14:45:00,0.820,0.830,0.820,0.830,621100
198,2021-01-06 14:50:00,0.830,0.830,0.820,0.830,390900
199,2021-01-06 14:55:00,0.820,0.830,0.820,0.820,1133300
200,2021-01-06 15:00:00,0.820,0.830,0.820,0.830,816600
201,2021-01-07 09:35:00,0.810,0.820,0.800,0.820,2693054
202,2021-01-07 09:40:00,0.820,0.830,0.810,0.810,1805500
203,2021-01-07 09:45:00,0.820,0.820,0.800,0.800,1429246
204,2021-01-07 09:50:00,0.810,0.820,0.800,0.810,1304812
205,2021-01-07 09:55:00,0.810,0.820,0.800,0.810,290588
206,2021-01-07 10:00:00,0.810,0.810,0.800,0.800,570100
207,2021-01-07 10:05:00,0.800,0.810,0.790,0.790,1538600
208,2021-01-07 10:10:00,0.790,0.800,0.790,0.790,4032012
209,2021-01-07 10:15:00,0.790,0.800,0.790,0.790,1011988
210,2021-01-07 10:20:00,0.790,0.800,0.790,0.790,327500
211,2021-01-07 10:25:00,0.800,0.800,0.790,0.800,449100
212,2021-01-07 10:30:00,0.790,0.800,0.790,0.790,644100
213,2021-01-07 10:35:00,0.790,0.800,0.790,0.790,797500
214,2021-01-07 10:40:00,0.790,0.790,0.790,0.790,157800
215,2021-01-07 10:45:00,0.790,0.790,0.790,0.790,83200
216,2021-01-07 10:50:00,0.790,0.790,0.790,0.790,226800
217,2021-01-07 10:55:00,0.790,0.790,0.790,0.790,78500
218,2021-01-07 11:00:00,0.790,0.790,0.790,0.790,208100
219,2021-01-07 11:05:00,0.790,0.790,0.790,0.790,62400
220,2021-01-07 11:10:00,0.790,0.790,0.790,0.790,43200
221,2021-01-07 11:15:00,0.790,0.790,0.790,0.790,15700
222,2021-01-07 11:20:00,0.790,0.790,0.790,0.790,16400
223,2021-01-07 11:25:00,0.790,0.790,0.790,0.790,29900
224,2021-01-07 11:30:00,0.790,0.790,0.790,0.790,42900
225,2021-01-07 13:05:00,0.790,0.790,0.790,0.790,119600
226,2021-01-07 13:10:00,0.790,0.790,0.790,0.790,37000
227,2021-01-07 13:15:00,0.790,0.790,0.790,0.790,36500
228,2021-01-07 13:20:00,0.790,0.790,0.790,0.790,130700
229,2021-01-07 13:25:00,0.790,0.790,0.790,0.790,41100
230,2021-01-07 13:30:00,0.790,0.790,0.790,0.790,167600
231,2021-01-07 13:35:00,0.790,0.790,0.790,0.790,5400
232,2021-01-07 13:40:00,0.790,0.790,0.790,0.790,127100
233,2021-01-07 13:45:00,0.790,0.790,0.790,0.790,32000
234,2021-01-07 13:50:00,0.790,0.790,0.790,0.790,5000
