,day,open,high,low,close,volume
0,2021-02-24 13:50:00,8.670,8.670,8.650,8.660,184700
1,2021-02-24 13:55:00,8.660,8.680,8.650,8.680,204300
2,2021-02-24 14:00:00,8.670,8.800,8.670,8.790,272956
3,2021-02-24 14:05:00,8.790,8.820,8.680,8.700,326100
4,2021-02-24 14:10:00,8.690,8.720,8.670,8.670,134500
5,2021-02-24 14:15:00,8.670,8.710,8.670,8.710,216300
6,2021-02-24 14:20:00,8.710,8.710,8.670,8.680,143400
7,2021-02-24 14:25:00,8.690,8.730,8.660,8.660,276200
8,2021-02-24 14:30:00,8.660,8.670,8.660,8.660,136589
9,2021-02-24 14:35:00,8.660,8.740,8.660,8.690,267200
10,2021-02-24 14:40:00,8.690,8.740,8.690,8.720,190700
11,2021-02-24 14:45:00,8.730,8.730,8.700,8.710,307200
12,2021-02-24 14:50:00,8.710,8.730,8.700,8.720,360700
13,2021-02-24 14:55:00,8.720,8.840,8.710,8.800,613600
14,2021-02-24 15:00:00,8.800,8.920,8.770,8.920,802311
15,2021-02-25 09:35:00,8.760,8.820,8.620,8.710,1345425
16,2021-02-25 09:40:00,8.700,8.700,8.610,8.610,1062500
17,2021-02-25 09:45:00,8.620,8.620,8.520,8.600,1290700
18,2021-02-25 09:50:00,8.610,8.610,8.530,8.570,483900
19,2021-02-25 09:55:00,8.570,8.610,8.550,8.560,420300
20,2021-02-25 10:00:00,8.560,8.590,8.560,8.560,310200
21,2021-02-25 10:05:00,8.550,8.570,8.500,8.520,667500
22,2021-02-25 10:10:00,8.510,8.530,8.330,8.380,1296395
23,2021-02-25 10:15:00,8.400,8.490,8.380,8.440,578200
24,2021-02-25 10:20:00,8.460,8.490,8.440,8.480,282701
25,2021-02-25 10:25:00,8.480,8.520,8.470,8.500,215100
26,2021-02-25 10:30:00,8.500,8.510,8.450,8.450,241500
27,2021-02-25 10:35:00,8.440,8.520,8.430,8.460,234400
28,2021-02-25 10:40:00,8.460,8.500,8.460,8.480,176100
29,2021-02-25 10:45:00,8.480,8.500,8.460,8.470,178500
30,2021-02-25 10:50:00,8.470,8.500,8.470,8.490,174700
31,2021-02-25 10:55:00,8.490,8.530,8.480,8.510,198700
32,2021-02-25 11:00:00,8.510,8.530,8.480,8.490,127300
33,2021-02-25 11:05:00,8.480,8.490,8.460,8.470,122500
34,2021-02-25 11:10:00,8.470,8.500,8.470,8.490,146400
35,2021-02-25 11:15:00,8.480,8.500,8.480,8.500,91900
36,2021-02-25 11:20:00,8.490,8.510,8.490,8.500,144200
37,2021-02-25 11:25:00,8.500,8.510,8.480,8.480,179600
38,2021-02-25 11:30:00,8.480,8.490,8.470,8.490,119000
39,2021-02-25 13:05:00,8.490,8.500,8.460,8.470,164800
40,2021-02-25 13:10:00,8.470,8.500,8.470,8.490,94000
41,2021-02-25 13:15:00,8.490,8.500,8.470,8.490,94400
42,2021-02-25 13:20:00,8.490,8.690,8.480,8.620,563500
43,2021-02-25 13:25:00,8.620,8.650,8.550,8.550,309800
44,2021-02-25 13:30:00,8.550,8.590,8.550,8.570,127000
45,2021-02-25 13:35:00,8.570,8.650,8.560,8.650,213400
46,2021-02-25 13:40:00,8.650,8.670,8.580,8.600,189300
47,2021-02-25 13:45:00,8.600,8.630,8.570,8.600,164200
48,2021-02-25 13:50:00,8.610,8.620,8.580,8.610,158200
49,2021-02-25 13:55:00,8.590,8.640,8.570,8.600,273700
50,2021-02-25 14:00:00,8.600,8.600,8.550,8.590,235500
51,2021-02-25 14:05:00,8.590,8.700,8.590,8.610,445300
52,2021-02-25 14:10:00,8.610,8.610,8.470,8.550,322000
53,2021-02-25 14:15:00,8.540,8.550,8.520,8.540,190600
54,2021-02-25 14:20:00,8.530,8.550,8.520,8.540,122400
55,2021-02-25 14:25:00,8.530,8.550,8.520,8.530,109000
56,2021-02-25 14:30:00,8.540,8.560,8.530,8.540,106700
57,2021-02-25 14:35:00,8.540,8.570,8.530,8.560,109700
58,2021-02-25 14:40:00,8.560,8.560,8.540,8.540,118900
59,2021-02-25 14:45:00,8.550,8.550,8.470,8.500,376000
