,day,open,high,low,close,volume
0,2021-02-24 13:50:00,5.230,5.240,5.210,5.230,496200
1,2021-02-24 13:55:00,5.230,5.240,5.210,5.230,310900
2,2021-02-24 14:00:00,5.230,5.240,5.220,5.220,383969
3,2021-02-24 14:05:00,5.220,5.230,5.180,5.190,1544691
4,2021-02-24 14:10:00,5.190,5.210,5.160,5.170,2825674
5,2021-02-24 14:15:00,5.170,5.180,5.150,5.160,2688287
6,2021-02-24 14:20:00,5.160,5.180,5.150,5.180,1957224
7,2021-02-24 14:25:00,5.180,5.200,5.170,5.180,661100
8,2021-02-24 14:30:00,5.180,5.200,5.170,5.200,472250
9,2021-02-24 14:35:00,5.200,5.220,5.180,5.210,867330
10,2021-02-24 14:40:00,5.210,5.240,5.190,5.230,669021
11,2021-02-24 14:45:00,5.230,5.270,5.220,5.240,1918642
12,2021-02-24 14:50:00,5.230,5.240,5.200,5.230,524971
13,2021-02-24 14:55:00,5.220,5.240,5.200,5.210,1105516
14,2021-02-24 15:00:00,5.210,5.240,5.190,5.240,1284698
15,2021-02-25 09:35:00,5.300,5.370,5.280,5.340,5119310
16,2021-02-25 09:40:00,5.350,5.350,5.270,5.280,3141501
17,2021-02-25 09:45:00,5.280,5.340,5.270,5.310,2430040
18,2021-02-25 09:50:00,5.310,5.310,5.230,5.240,2522600
19,2021-02-25 09:55:00,5.230,5.250,5.210,5.240,1569420
20,2021-02-25 10:00:00,5.240,5.270,5.240,5.250,1194416
21,2021-02-25 10:05:00,5.250,5.290,5.240,5.270,665480
22,2021-02-25 10:10:00,5.280,5.290,5.260,5.270,966200
23,2021-02-25 10:15:00,5.280,5.330,5.270,5.310,1142130
24,2021-02-25 10:20:00,5.320,5.320,5.300,5.300,645500
25,2021-02-25 10:25:00,5.310,5.310,5.280,5.290,700639
26,2021-02-25 10:30:00,5.290,5.300,5.280,5.280,416961
27,2021-02-25 10:35:00,5.280,5.280,5.250,5.260,524430
28,2021-02-25 10:40:00,5.260,5.280,5.250,5.270,501877
29,2021-02-25 10:45:00,5.270,5.280,5.240,5.260,800200
30,2021-02-25 10:50:00,5.270,5.280,5.260,5.270,643230
31,2021-02-25 10:55:00,5.270,5.290,5.260,5.270,333800
32,2021-02-25 11:00:00,5.270,5.280,5.260,5.270,206900
33,2021-02-25 11:05:00,5.260,5.270,5.240,5.250,1208970
34,2021-02-25 11:10:00,5.260,5.260,5.240,5.260,375770
35,2021-02-25 11:15:00,5.250,5.270,5.240,5.250,381030
36,2021-02-25 11:20:00,5.250,5.260,5.240,5.250,382100
37,2021-02-25 11:25:00,5.250,5.250,5.230,5.240,360040
38,2021-02-25 11:30:00,5.240,5.260,5.240,5.260,398000
39,2021-02-25 13:05:00,5.260,5.280,5.250,5.260,554900
40,2021-02-25 13:10:00,5.260,5.290,5.260,5.280,435260
41,2021-02-25 13:15:00,5.280,5.290,5.250,5.270,539000
42,2021-02-25 13:20:00,5.260,5.280,5.260,5.270,320160
43,2021-02-25 13:25:00,5.270,5.280,5.260,5.280,226700
44,2021-02-25 13:30:00,5.270,5.280,5.260,5.260,334900
45,2021-02-25 13:35:00,5.270,5.270,5.250,5.260,429390
46,2021-02-25 13:40:00,5.260,5.270,5.250,5.260,440400
47,2021-02-25 13:45:00,5.260,5.280,5.260,5.270,638830
48,2021-02-25 13:50:00,5.270,5.280,5.260,5.270,298000
49,2021-02-25 13:55:00,5.270,5.270,5.250,5.260,506200
50,2021-02-25 14:00:00,5.260,5.270,5.250,5.250,869864
51,2021-02-25 14:05:00,5.250,5.260,5.240,5.240,502200
52,2021-02-25 14:10:00,5.240,5.250,5.230,5.240,620700
53,2021-02-25 14:15:00,5.240,5.250,5.230,5.240,340500
54,2021-02-25 14:20:00,5.250,5.250,5.230,5.250,291900
55,2021-02-25 14:25:00,5.240,5.260,5.240,5.250,609340
56,2021-02-25 14:30:00,5.250,5.260,5.240,5.250,195930
57,2021-02-25 14:35:00,5.240,5.250,5.230,5.230,540726
58,2021-02-25 14:40:00,5.230,5.240,5.220,5.230,615560
59,2021-02-25 14:45:00,5.230,5.240,5.220,5.220,507200
60,2021-02-25 14:50:00,5.220,5.240,5.220,5.230,566000
61,2021-02-25 14:55:00,5.230,5.270,5.230,5.260,1271592
62,2021-02-25 15:00:00,5.260,5.260,5.240,5.250,686300
63,2021-02-26 09:35:00,5.140,5.190,5.060,5.150,4820490
64,2021-02-26 09:40:00,5.160,5.180,5.120,5.180,1881795
65,2021-02-26 09:45:00,5.170,5.180,5.120,5.130,2398190
66,2021-02-26 09:50:00,5.130,5.140,5.080,5.090,3207560
67,2021-02-26 09:55:00,5.080,5.100,5.050,5.090,2961020
68,2021-02-26 10:00:00,5.080,5.100,5.070,5.100,1522100
69,2021-02-26 10:05:00,5.100,5.120,5.090,5.110,1172600
70,2021-02-26 10:10:00,5.110,5.110,5.080,5.090,1393750
71,2021-02-26 10:15:00,5.100,5.110,5.090,5.100,673550
72,2021-02-26 10:20:00,5.100,5.110,5.080,5.090,1184750
73,2021-02-26 10:25:00,5.090,5.110,5.080,5.110,570390
74,2021-02-26 10:30:00,5.110,5.120,5.090,5.100,494550
75,2021-02-26 10:35:00,5.100,5.130,5.090,5.100,773800
76,2021-02-26 10:40:00,5.090,5.110,5.090,5.100,749400
77,2021-02-26 10:45:00,5.110,5.110,5.090,5.100,583800
78,2021-02-26 10:50:00,5.100,5.110,5.090,5.100,596800
79,2021-02-26 10:55:00,5.100,5.100,5.070,5.080,1201100
80,2021-02-26 11:00:00,5.070,5.090,5.070,5.090,596730
81,2021-02-26 11:05:00,5.090,5.090,5.070,5.090,654600
82,2021-02-26 11:10:00,5.090,5.100,5.080,5.090,484350
83,2021-02-26 11:15:00,5.090,5.110,5.080,5.090,320200
84,2021-02-26 11:20:00,5.080,5.100,5.050,5.060,1527620
85,2021-02-26 11:25:00,5.060,5.070,5.050,5.050,892015
86,2021-02-26 11:30:00,5.050,5.090,5.050,5.080,388450
87,2021-02-26 13:05:00,5.070,5.090,5.060,5.060,824430
88,2021-02-26 13:10:00,5.070,5.070,5.050,5.060,451020
