,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300510.SZ,20210324,5.12,5.25,5.07,5.09,5.16,-0.07,-1.3566,71482.23,36778.432
1,300510.SZ,20210323,5.28,5.28,5.12,5.16,5.29,-0.13,-2.4575,61945.41,32026.175
2,300510.SZ,20210322,5.25,5.42,5.25,5.29,5.3,-0.01,-0.1887,56256.03,29970.757
3,300510.SZ,20210319,5.29,5.47,5.26,5.3,5.35,-0.05,-0.9346,57381.04,30788.771
4,300510.SZ,20210318,5.34,5.48,5.29,5.35,5.39,-0.04,-0.7421,66247.0,35508.431
5,300510.SZ,20210317,5.56,5.61,5.36,5.39,5.57,-0.18,-3.2316,90733.08,49405.798
6,300510.SZ,20210316,5.18,5.63,5.16,5.57,5.22,0.35,6.705,172772.81,94718.156
7,300510.SZ,20210315,5.17,5.31,5.13,5.22,5.21,0.01,0.1919,82977.38,42958.428
8,300510.SZ,20210312,5.3,5.47,5.18,5.21,5.24,-0.03,-0.5725,108364.66,57075.112
9,300510.SZ,20210311,5.45,5.46,5.05,5.24,5.41,-0.17,-3.1423,186078.96,96777.29
10,300510.SZ,20210310,5.76,5.76,5.4,5.41,5.67,-0.26,-4.5855,105821.04,58448.898
11,300510.SZ,20210309,5.66,5.78,5.43,5.67,5.72,-0.05,-0.8741,146710.98,82752.375
12,300510.SZ,20210308,5.98,6.05,5.59,5.72,5.98,-0.26,-4.3478,252137.82,145500.578
13,300510.SZ,20210305,5.55,6.07,5.55,5.98,5.52,0.46,8.3333,329104.98,194550.822
14,300510.SZ,20210304,5.43,5.59,5.42,5.52,5.52,0.0,0.0,144404.07,79609.844
15,300510.SZ,20210303,5.3,5.55,5.26,5.52,5.36,0.16,2.9851,173777.59,94948.521
16,300510.SZ,20210302,5.11,5.39,5.11,5.36,5.09,0.27,5.3045,202835.08,107583.568
17,300510.SZ,20210301,4.91,5.09,4.85,5.09,4.81,0.28,5.8212,122705.39,61499.114
18,300510.SZ,20210226,4.68,4.86,4.63,4.81,4.68,0.13,2.7778,68102.39,32521.323
19,300510.SZ,20210225,4.74,4.78,4.68,4.68,4.73,-0.05,-1.0571,51334.27,24228.266
20,300510.SZ,20210224,4.72,4.8,4.69,4.73,4.72,0.01,0.2119,48439.97,22950.566
21,300510.SZ,20210223,4.81,4.96,4.71,4.72,4.82,-0.1,-2.0747,61241.2,29303.98
22,300510.SZ,20210222,4.83,5.0,4.82,4.82,4.86,-0.04,-0.823,85821.47,42215.76
23,300510.SZ,20210219,4.74,4.86,4.72,4.86,4.81,0.05,1.0395,69237.72,33330.595
24,300510.SZ,20210218,4.58,4.89,4.57,4.81,4.6,0.21,4.5652,97750.38,46503.618
25,300510.SZ,20210210,4.48,4.63,4.41,4.6,4.48,0.12,2.6786,62864.87,28212.968
26,300510.SZ,20210209,4.56,4.56,4.47,4.48,4.52,-0.04,-0.885,49827.94,22401.56
27,300510.SZ,20210208,4.55,4.72,4.49,4.52,4.57,-0.05,-1.0941,68326.99,31532.862
28,300510.SZ,20210205,4.5,4.64,4.5,4.57,4.52,0.05,1.1062,52124.3,23854.404
29,300510.SZ,20210204,4.43,4.59,4.4,4.52,4.44,0.08,1.8018,52123.97,23353.718
30,300510.SZ,20210203,4.61,4.66,4.36,4.44,4.57,-0.13,-2.8446,83335.67,37361.431
31,300510.SZ,20210202,4.59,4.68,4.53,4.57,4.64,-0.07,-1.5086,49121.92,22560.147
32,300510.SZ,20210201,4.65,4.73,4.57,4.64,4.65,-0.01,-0.2151,46956.23,21776.27
33,300510.SZ,20210129,4.63,4.74,4.56,4.65,4.64,0.01,0.2155,57220.27,26513.885
34,300510.SZ,20210128,4.5,4.73,4.5,4.64,4.64,0.0,0.0,63061.83,29236.848
35,300510.SZ,20210127,4.86,4.88,4.61,4.64,4.81,-0.17,-3.5343,90991.33,42846.954
36,300510.SZ,20210126,4.95,5.15,4.78,4.81,4.94,-0.13,-2.6316,114054.93,56274.347
37,300510.SZ,20210125,5.47,5.47,4.9,4.94,5.23,-0.29,-5.5449,152743.17,77361.177
38,300510.SZ,20210122,5.5,5.5,5.14,5.23,5.41,-0.18,-3.3272,149963.54,79588.26
