,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,688222.SH,20210324,28.08,28.49,27.0,27.29,28.27,-0.98,-3.4666,9029.43,24828.751
1,688222.SH,20210323,29.62,29.84,28.2,28.27,29.8,-1.53,-5.1342,8062.91,23253.794
2,688222.SH,20210322,29.72,30.2,29.31,29.8,29.72,0.08,0.2692,7173.29,21247.644
3,688222.SH,20210319,30.5,31.39,29.59,29.72,31.13,-1.41,-4.5294,11842.9,35947.074
4,688222.SH,20210318,29.34,31.25,28.61,31.13,29.0,2.13,7.3448,15429.68,46521.742
5,688222.SH,20210317,29.4,29.65,28.79,29.0,29.3,-0.3,-1.0239,5201.0,15160.984
6,688222.SH,20210316,28.88,29.52,28.45,29.3,28.71,0.59,2.055,6771.93,19623.913
7,688222.SH,20210315,30.0,30.0,28.41,28.71,29.89,-1.18,-3.9478,7695.8,22265.629
8,688222.SH,20210312,30.0,30.65,29.22,29.89,29.86,0.03,0.1005,8753.8,26206.805
9,688222.SH,20210311,29.2,30.78,28.7,29.86,29.35,0.51,1.7376,10340.46,31040.437
10,688222.SH,20210310,30.86,30.87,29.0,29.35,29.43,-0.08,-0.2718,7381.84,21823.575
11,688222.SH,20210309,30.5,30.88,28.89,29.43,30.62,-1.19,-3.8863,11370.73,33966.66
12,688222.SH,20210308,32.86,33.95,30.39,30.62,32.86,-2.24,-6.8168,14979.43,47945.929
13,688222.SH,20210305,32.67,33.48,32.1,32.86,32.99,-0.13,-0.3941,10042.59,32942.891
14,688222.SH,20210304,33.88,34.25,32.81,32.99,34.0,-1.01,-2.9706,10125.88,33665.064
15,688222.SH,20210303,34.22,34.84,33.01,34.0,34.35,-0.35,-1.0189,11177.74,37590.702
16,688222.SH,20210302,35.1,35.2,34.0,34.35,35.24,-0.89,-2.5255,10440.87,36072.295
17,688222.SH,20210301,35.33,36.46,34.6,35.24,35.33,-0.09,-0.2547,14319.17,50764.91
18,688222.SH,20210226,33.5,36.3,33.21,35.33,34.13,1.2,3.516,17087.29,60268.439
19,688222.SH,20210225,35.6,35.65,33.5,34.13,35.3,-1.17,-3.3144,13566.04,46419.223
20,688222.SH,20210224,35.8,36.88,34.5,35.3,35.35,-0.05,-0.1414,13128.3,46600.447
21,688222.SH,20210223,34.62,36.88,34.3,35.35,34.27,1.08,3.1514,21736.17,77434.723
22,688222.SH,20210222,38.94,39.83,34.01,34.27,39.22,-4.95,-12.6211,31916.7,115522.377
23,688222.SH,20210219,39.4,40.77,38.21,39.22,38.84,0.38,0.9784,18687.69,73864.72
24,688222.SH,20210218,40.61,41.86,38.16,38.84,40.13,-1.29,-3.2146,26518.77,105048.829
25,688222.SH,20210210,36.87,41.0,35.83,40.13,36.27,3.86,10.6424,33158.22,131417.862
26,688222.SH,20210209,34.48,37.55,34.02,36.27,34.01,2.26,6.6451,21295.77,77406.206
27,688222.SH,20210208,35.0,36.38,33.5,34.01,35.43,-1.42,-4.0079,19689.96,68192.627
28,688222.SH,20210205,33.48,37.6,32.48,35.43,33.33,2.1,6.3006,32141.9,114558.21
29,688222.SH,20210204,34.18,34.68,32.18,33.33,34.25,-0.92,-2.6861,19639.78,65032.342
30,688222.SH,20210203,34.47,35.28,33.17,34.25,35.3,-1.05,-2.9745,27360.92,93497.775
31,688222.SH,20210202,29.48,35.3,29.48,35.3,29.42,5.88,19.9864,41326.97,138983.551
32,688222.SH,20210201,26.94,29.91,26.63,29.42,26.69,2.73,10.2286,15034.29,43607.239
33,688222.SH,20210129,27.43,27.87,26.33,26.69,27.16,-0.47,-1.7305,5897.05,15823.907
34,688222.SH,20210128,27.79,28.27,27.08,27.16,28.18,-1.02,-3.6196,8185.26,22574.378
35,688222.SH,20210127,29.97,30.29,28.0,28.18,29.41,-1.23,-4.1823,9819.2,28201.787
36,688222.SH,20210126,29.17,30.38,28.61,29.41,29.4,0.01,0.034,11456.63,33607.139
37,688222.SH,20210125,30.52,31.1,28.06,29.4,30.84,-1.44,-4.6693,20156.24,59214.133
38,688222.SH,20210122,29.61,31.17,29.47,30.84,29.75,1.09,3.6639,15609.15,47778.016
39,688222.SH,20210121,28.96,30.85,28.96,29.75,29.19,0.56,1.9185,17684.9,53192.661
40,688222.SH,20210120,28.91,29.88,28.33,29.19,28.89,0.3,1.0384,12327.83,36045.409
41,688222.SH,20210119,27.46,29.88,27.45,28.89,26.92,1.97,7.318,21933.11,63784.832
42,688222.SH,20210118,26.15,27.7,25.81,26.92,26.24,0.68,2.5915,8819.58,23860.567
43,688222.SH,20210115,25.15,26.49,25.15,26.24,25.55,0.69,2.7006,10769.16,28084.479
44,688222.SH,20210114,24.77,26.39,24.03,25.55,24.4,1.15,4.7131,16767.3,42688.949
45,688222.SH,20210113,25.79,25.79,23.92,24.4,25.37,-0.97,-3.8234,14125.11,34691.328
46,688222.SH,20210112,25.9,26.4,25.2,25.37,25.71,-0.34,-1.3224,10078.59,25737.257
47,688222.SH,20210111,26.35,27.19,25.6,25.71,26.62,-0.91,-3.4185,10645.59,27972.246
48,688222.SH,20210108,26.77,27.38,26.05,26.62,26.71,-0.09,-0.337,9310.58,25007.361
49,688222.SH,20210107,29.22,29.23,26.53,26.71,29.23,-2.52,-8.6213,20795.01,57307.263
50,688222.SH,20210106,30.0,30.16,28.82,29.23,30.03,-0.8,-2.664,9718.61,28376.617
51,688222.SH,20210105,30.0,30.37,29.68,30.03,30.11,-0.08,-0.2657,9389.45,28191.854
52,688222.SH,20210104,30.1,30.69,29.6,30.11,30.12,-0.01,-0.0332,9786.23,29350.594
53,688222.SH,20201231,29.11,30.8,29.01,30.12,29.11,1.01,3.4696,14921.9,44517.076
54,688222.SH,20201230,28.78,29.66,28.41,29.11,28.88,0.23,0.7964,10484.49,30490.813
55,688222.SH,20201229,29.1,29.65,28.0,28.88,29.19,-0.31,-1.062,15142.57,43466.748
56,688222.SH,20201228,32.28,32.28,29.19,29.19,32.3,-3.11,-9.6285,25753.71,77467.685
57,688222.SH,20201225,32.05,32.65,31.92,32.3,32.33,-0.03,-0.0928,7249.09,23404.807
58,688222.SH,20201224,33.5,33.85,31.7,32.33,33.55,-1.22,-3.6364,16050.22,52750.971
59,688222.SH,20201223,33.01,34.3,32.79,33.55,33.35,0.2,0.5997,14913.13,49832.979
60,688222.SH,20201222,33.55,34.68,32.88,33.35,33.53,-0.18,-0.5368,16140.58,54791.65
61,688222.SH,20201221,35.49,35.49,33.29,33.53,35.66,-2.13,-5.9731,27599.94,93903.14
62,688222.SH,20201218,37.73,38.04,35.66,35.66,37.82,-2.16,-5.7113,26865.99,98040.474
63,688222.SH,20201217,38.1,39.0,37.0,37.82,37.48,0.34,0.9072,23334.11,88786.099
64,688222.SH,20201216,36.61,38.94,36.6,37.48,36.99,0.49,1.3247,19653.65,74948.932
65,688222.SH,20201215,37.4,37.73,36.52,36.99,37.42,-0.43,-1.1491,12293.03,45684.718
66,688222.SH,20201214,34.81,37.47,34.81,37.42,34.75,2.67,7.6835,25640.49,94542.543
67,688222.SH,20201211,35.0,35.3,34.57,34.75,34.81,-0.06,-0.1724,5396.05,18818.833
68,688222.SH,20201210,35.08,35.38,34.63,34.81,35.2,-0.39,-1.108,5583.6,19508.002
69,688222.SH,20201209,35.9,35.9,34.59,35.2,36.0,-0.8,-2.2222,10659.54,37425.706
70,688222.SH,20201208,35.88,37.27,35.8,36.0,36.0,0.0,0.0,9413.45,34165.604
71,688222.SH,20201207,36.31,36.79,35.51,36.0,36.61,-0.61,-1.6662,9019.13,32529.089
72,688222.SH,20201204,37.29,37.9,36.22,36.61,37.3,-0.69,-1.8499,12588.11,46557.878
73,688222.SH,20201203,36.58,37.99,36.24,37.3,36.5,0.8,2.1918,16176.57,60317.221
74,688222.SH,20201202,36.0,37.46,35.51,36.5,35.05,1.45,4.1369,25399.76,93253.414
75,688222.SH,20201201,34.52,35.39,34.52,35.05,34.93,0.12,0.3435,9605.95,33647.294
76,688222.SH,20201130,35.5,35.5,34.28,34.93,35.4,-0.47,-1.3277,10443.11,36292.024
77,688222.SH,20201127,34.54,36.38,34.54,35.4,34.94,0.46,1.3165,18808.78,66934.233
78,688222.SH,20201126,32.52,35.58,32.52,34.94,32.78,2.16,6.5894,24676.05,85230.327
79,688222.SH,20201125,33.51,33.7,32.7,32.78,33.4,-0.62,-1.8563,5665.16,18666.745
80,688222.SH,20201124,33.8,34.27,33.06,33.4,34.03,-0.63,-1.8513,8477.42,28379.936
81,688222.SH,20201123,32.66,34.4,32.05,34.03,32.02,2.01,6.2773,14353.39,47579.207
82,688222.SH,20201120,31.63,32.5,31.63,32.02,31.92,0.1,0.3133,3850.69,12367.837
83,688222.SH,20201119,31.9,32.4,31.31,31.92,31.95,-0.03,-0.0939,3800.07,12171.695
84,688222.SH,20201118,32.47,32.47,31.31,31.95,32.09,-0.14,-0.4363,5142.38,16310.045
85,688222.SH,20201117,32.88,32.94,31.82,32.09,32.88,-0.79,-2.4027,5431.25,17441.958
