,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,605122.SH,20210324,46.0,46.3,44.31,44.79,47.17,-2.38,-5.0456,58800.95,264548.061
1,605122.SH,20210323,47.0,48.71,46.55,47.17,47.62,-0.45,-0.945,64237.48,306914.847
2,605122.SH,20210322,45.94,47.86,45.38,47.62,45.95,1.67,3.6344,63196.1,295892.052
3,605122.SH,20210319,45.1,48.48,44.66,45.95,45.41,0.54,1.1892,72901.38,340766.456
4,605122.SH,20210318,44.57,45.44,43.91,45.41,44.51,0.9,2.022,59053.48,263238.775
5,605122.SH,20210317,44.02,45.05,43.59,44.51,44.33,0.18,0.406,46478.12,206211.322
6,605122.SH,20210316,44.02,44.95,43.5,44.33,44.32,0.01,0.0226,52835.53,234297.807
7,605122.SH,20210315,46.31,46.85,44.02,44.32,48.48,-4.16,-8.5809,86779.9,393150.431
8,605122.SH,20210312,51.2,52.85,48.47,48.48,53.86,-5.38,-9.9889,116262.52,585159.061
9,605122.SH,20210311,51.28,59.45,51.28,53.86,56.98,-3.12,-5.4756,138946.96,744883.926
10,605122.SH,20210310,51.46,61.75,51.46,56.98,42.88,14.1,32.8825,150667.58,881116.83
